step,rg2,perim,cycles,asph
5600000,351030.059985,119440,7236,0.266170
5650000,413579.678143,119520,7268,0.363086
5700000,440014.569256,119531,7282,0.223789
5750000,491544.780280,119404,7246,0.418685
5800000,478793.635264,119439,7296,0.443260
5850000,476734.325090,119548,7327,0.200178
5900000,445310.385332,119574,7270,0.425832
5950000,437285.390269,119610,7238,0.417424
6000000,416383.939265,119425,7321,0.447622
6050000,491664.634413,119439,7210,0.558490
6100000,477666.403564,119479,7310,0.207925
6150000,576680.340532,119671,7253,0.445971
6200000,523241.149670,119605,7244,0.528692
6250000,416649.756971,119360,7294,0.079008
6300000,383063.199558,119296,7400,0.021134
6350000,571198.497649,119290,7314,0.644537
6400000,430978.642907,119321,7424,0.276005
6450000,360831.419371,119335,7432,0.305242
6500000,302039.111194,119478,7444,0.029935
6550000,316007.309816,119411,7352,0.037572
6600000,310188.046041,119471,7300,0.029432
6650000,303898.384716,119421,7331,0.015243
6700000,287370.383168,119414,7319,0.071632
6750000,317751.023818,119319,7254,0.014504
6800000,323252.335916,119425,7300,0.043413
6850000,321434.266205,119534,7201,0.045444
6900000,331114.400011,119438,7285,0.104521
6950000,379880.706577,119461,7211,0.172030
7000000,360337.546896,119583,7201,0.268335
7050000,311393.163130,119520,7296,0.075267
7100000,292124.511467,119508,7289,0.025012
7150000,293888.372542,119571,7280,0.029313
7200000,312599.866432,119408,7388,0.130403
7250000,353067.493934,119551,7303,0.366744
7300000,301030.575495,119675,7312,0.245204
7350000,308392.130869,119728,7330,0.314365
7400000,318898.827950,119629,7331,0.272794
7450000,341505.377590,119625,7304,0.358417
7500000,306360.740454,119770,7211,0.204194
7550000,331747.944394,119821,7158,0.255016
7600000,373314.008362,119837,7165,0.343064
