step,rg2,perim,cycles
12250000,41406.453129,104847,9697
12300000,41433.274456,104982,9698
12350000,41422.386877,104981,9673
12400000,41535.796612,104940,9698
12450000,41517.910106,104963,9653
12500000,41613.955496,105053,9695
12550000,41630.499619,105072,9656
12600000,42022.457800,105215,9635
12650000,42082.781736,105339,9594
12700000,42183.056607,105328,9756
12750000,42201.791540,105391,9780
12800000,42314.697713,105438,9650
12850000,42303.009776,105507,9601
12900000,42397.896433,105520,9631
12950000,42469.793690,105755,9568
13000000,42440.113946,105840,9514
13050000,42442.754321,105879,9738
13100000,42489.241865,106068,9639
13150000,42528.580382,106161,9570
13200000,42542.621088,106133,9592
13250000,42645.963758,106145,9608
13300000,42712.258596,106172,9555
13350000,42729.541766,106167,9572
13400000,42795.754120,106453,9452
13450000,42827.443849,106556,9374
13500000,42884.639505,106563,9440
13550000,42947.880173,106552,9428
13600000,43006.626150,106580,9388
13650000,43087.194698,106571,9405
13700000,43166.716450,106730,9235
13750000,43234.249180,106770,9376
13800000,43245.857962,106751,9359
13850000,43247.962873,106940,9267
13900000,43225.813202,106709,9506
13950000,43248.441332,106726,9503
14000000,43310.503738,107012,9439
14050000,43334.432050,106971,9542
14100000,43345.133421,106820,9573
14150000,43383.379896,106923,9429
14200000,43461.731272,106815,9503
14250000,43423.396208,106882,9324
14300000,43431.490957,106886,9396
14350000,43560.076344,107115,9309
14400000,43567.769901,107224,9325
14450000,43548.029594,107474,9217
14500000,43597.496737,107488,9146
14550000,43722.843805,107434,9208
14600000,43749.600214,107575,9262
14650000,43807.622363,107617,9291
14700000,43953.826702,107477,9283
14750000,43963.277579,107638,9323
14800000,43975.570127,107725,9223
14850000,44009.599740,107754,9108
14900000,44046.318033,107552,9252
14950000,44061.296600,107936,9185
15000000,44041.500577,107864,9239
15050000,44112.601630,108058,9133
15100000,44079.808844,107956,9199
15150000,44100.900269,107960,9118
15200000,44152.784993,107911,9076
15250000,44161.112173,107919,9073
15300000,44182.130323,108084,9123
15350000,44251.055380,108281,8871
15400000,44338.016339,108507,8947
15450000,44362.167541,108647,8812
15500000,44528.329178,108631,8761
15550000,44585.602688,108552,8846
15600000,44570.033019,108360,8906
15650000,44578.442764,108558,9028
15700000,44619.763108,108560,9096
15750000,44667.878788,108547,9015
15800000,44675.626572,108558,9108
15850000,44646.293932,108498,9144
15900000,44659.786720,108615,9016
15950000,44741.587513,108544,9032
16000000,44834.744915,108543,9067
16050000,44779.018104,108603,9069
16100000,44757.832220,108665,9107
16150000,44790.864541,108555,8904
16200000,44839.340379,108625,8985
16250000,44840.103266,108602,9001
16300000,44956.953773,108765,8943
16350000,44959.037832,108757,9047
16400000,44912.866143,108855,9033
16450000,44926.045400,108941,9018
16500000,44954.040397,108821,8973
16550000,45000.190235,108943,9017
16600000,45052.711217,109167,8875
16650000,45147.695212,109129,8876
16700000,45220.408738,109236,9047
16750000,45211.277953,109276,8929
16800000,45250.556328,109221,8920
16850000,45276.691962,109385,8820
16900000,45308.401542,109375,8843
16950000,45320.483385,109302,8881
17000000,45464.145484,109407,8820
17050000,45516.064858,109420,8828
17100000,45469.936317,109507,8844
17150000,45542.252021,109439,8837
17200000,45579.411242,109626,8866
17250000,45585.475498,109581,8885
17300000,45623.566631,109623,8799
17350000,45603.836744,109496,8996
17400000,45643.744829,109730,8877
17450000,45639.414827,109671,8961
17500000,45650.020358,109702,8946
17550000,45691.356744,109813,8942
17600000,45727.151833,109781,8924
17650000,45700.144116,110012,8902
17700000,45680.297532,109848,8943
17750000,45708.352552,109959,8650
17800000,45764.567240,109802,8818
17850000,45798.355147,109636,8850
17900000,45898.560436,109449,8966
17950000,45874.635262,109743,8746
18000000,45928.721590,109826,8802
18050000,45992.240480,109888,8799
18100000,46063.711454,109883,8849
18150000,46142.553692,109952,8874
18200000,46139.638973,110023,8787
18250000,46129.658578,110304,8691
18300000,46220.356638,110306,8686
18350000,46246.390940,110176,8716
18400000,46205.981667,110158,8672
18450000,46287.671618,110002,8990
18500000,46349.815484,110037,8875
18550000,46436.425361,110309,8777
18600000,46607.311412,110171,8858
18650000,46645.239245,110201,8818
18700000,46720.792613,110208,8983
18750000,46653.224660,110388,8904
18800000,46678.787308,110448,8715
18850000,46623.911891,110403,8754
18900000,46728.949811,110406,8713
18950000,46748.775037,110373,8758
19000000,46713.845716,110555,8684
19050000,46807.657510,110407,8769
19100000,46817.191763,110605,8592
19150000,46823.098579,110528,8679
19200000,46813.953279,110343,8737
19250000,46860.708961,110224,8671
19300000,46876.382442,110087,8785
19350000,46854.821197,110215,8706
19400000,46858.305262,110426,8618
19450000,46898.636148,110446,8542
19500000,46931.811057,110419,8762
19550000,46969.292230,110395,8752
19600000,47001.381166,110628,8736
19650000,46992.252332,110511,8907
19700000,47067.239793,110462,8884
19750000,47107.637335,110496,8682
19800000,47171.476202,110608,8646
19850000,47179.476148,110628,8681
19900000,47138.741534,110738,8776
19950000,47151.069654,110623,8795
20000000,47197.254449,110464,8821
20050000,47208.949507,110580,8844
20100000,47274.958815,110448,8858
20150000,47300.679455,110620,8699
20200000,47289.926540,110682,8637
20250000,47310.079239,110655,8864
20300000,47381.859664,110646,8932
20350000,47420.577254,110729,8790
20400000,47460.068069,110688,8816
20450000,47477.607941,110713,8824
20500000,47472.976474,110907,8656
20550000,47531.580912,110861,8682
20600000,47551.697070,110964,8757
20650000,47552.817195,110928,8673
20700000,47613.087979,111007,8772
20750000,47639.890956,111091,8619
20800000,47630.246524,111105,8564
20850000,47684.129295,111319,8612
20900000,47729.912686,111395,8513
20950000,47734.171317,111318,8644
21000000,47722.964514,111310,8718
21050000,47742.031544,111226,8598
21100000,47760.633100,111172,8653
21150000,47801.956589,111138,8672
21200000,47808.360400,111155,8690
21250000,47836.431664,111278,8602
21300000,47856.070946,111314,8677
21350000,47868.249551,111645,8455
21400000,47865.479613,111488,8477
21450000,47864.257406,111396,8544
21500000,47911.432201,111428,8586
21550000,47964.796444,111569,8409
21600000,47973.314954,111621,8491
21650000,47960.179319,111635,8453
21700000,48002.452670,111555,8503
21750000,48064.584760,111703,8509
21800000,48023.487235,111722,8415
21850000,48079.038079,111925,8384
21900000,48077.242808,111833,8443
21950000,48173.269216,111672,8516
22000000,48211.409624,111594,8580
22050000,48195.821592,111645,8450
22100000,48154.983952,111786,8461
22150000,48169.628476,111704,8519
22200000,49018.555601,111707,8552
22250000,49043.211720,111778,8427
22300000,49082.717830,111943,8567
22350000,49137.778377,111938,8506
22400000,49225.699651,111942,8403
22450000,50307.047951,112129,8350
22500000,50349.022334,112000,8358
22550000,50345.351498,112066,8246
22600000,50341.429766,112062,8390
22650000,50453.986957,112209,8290
22700000,50461.975707,111965,8498
22750000,50582.346337,111851,8612
22800000,50646.402467,111812,8572
22850000,50572.895276,111843,8627
22900000,50605.140484,111832,8557
22950000,50708.466607,111936,8440
23000000,50799.282709,111929,8435
23050000,50711.960105,111892,8441
23100000,50742.585687,111908,8513
23150000,50728.432208,111928,8488
23200000,50705.027257,111890,8457
23250000,50795.309770,111865,8533
23300000,50797.832172,111927,8446
23350000,50876.376606,111868,8621
23400000,50873.146637,112098,8519
23450000,50849.188976,111939,8547
23500000,50970.563481,112000,8546
23550000,51010.327775,112081,8587
23600000,51016.473837,112059,8438
23650000,51039.828097,112079,8391
23700000,51090.591012,112009,8515
23750000,51099.558944,112281,8318
23800000,51122.606921,112408,8210
23850000,51146.797995,112456,8242
23900000,51149.008411,112328,8336
23950000,51143.705955,112606,8191
24000000,51088.225810,112553,8183
24050000,51184.665752,112671,8257
24100000,51164.789427,112490,8488
24150000,51179.476825,112297,8591
24200000,51250.076874,112345,8502
24250000,51272.441990,112552,8443
24300000,51342.482919,112747,8482
24350000,51399.089203,112571,8369
24400000,51374.189521,112566,8383
24450000,51445.129791,112536,8311
24500000,51487.092487,112721,8223
24550000,51460.412774,112660,8240
24600000,51418.837929,112723,8278
