step,rg2,perim,cycles
13350000,5783224.032961,119028,7364
13400000,5360429.770889,119003,7314
13450000,5385285.926259,119057,7275
13500000,5377894.151354,118845,7432
13550000,5372321.710673,118803,7371
13600000,5364116.977340,118673,7408
13650000,5296841.549842,118751,7423
13700000,5296961.719711,118951,7360
13750000,5299095.984763,118952,7350
13800000,4962023.935087,119056,7363
13850000,5017264.482544,118982,7339
13900000,5000602.304984,119116,7439
13950000,5073692.906769,119113,7479
14000000,5037246.825807,119080,7415
14050000,5040156.288263,119043,7490
14100000,5000231.485997,118867,7570
14150000,5005793.107053,118726,7597
14200000,5006387.107112,118745,7568
14250000,5027178.857352,118836,7467
14300000,5023569.835187,118760,7454
14350000,5021079.966540,118834,7382
14400000,5029212.907181,118790,7404
14450000,4578259.637036,118654,7457
14500000,4580256.240962,118852,7370
14550000,4575855.558558,118854,7473
14600000,4591617.084860,118779,7480
14650000,4595752.516763,118876,7464
14700000,4585518.937828,118920,7348
14750000,4589648.258098,118866,7457
14800000,4574354.050503,118999,7412
14850000,4573864.176709,119164,7235
14900000,4574410.375721,118976,7458
14950000,4578622.076926,119116,7416
15000000,4569339.970428,119090,7441
15050000,4567890.406781,119133,7375
15100000,4568185.678659,119077,7389
15150000,4569591.821326,119040,7433
15200000,4555548.310949,119176,7399
15250000,4553599.978742,119134,7378
15300000,4554419.394445,119060,7411
15350000,4547431.123019,119073,7413
15400000,4520555.027463,119050,7411
15450000,4519624.771827,119163,7262
15500000,4570689.687740,118976,7383
15550000,4567712.576955,119038,7441
15600000,4556214.461720,119106,7305
15650000,4544408.261550,119171,7261
15700000,4530062.951000,118935,7285
15750000,4537654.965006,118985,7384
15800000,4523540.789461,119046,7316
15850000,4517598.836553,119108,7256
15900000,4623062.390870,119105,7263
15950000,4615196.774773,119059,7218
16000000,4632911.782360,118848,7374
16050000,4642300.583135,119025,7193
16100000,4632874.001131,118948,7332
16150000,4629359.461732,118852,7447
16200000,4623357.121411,118979,7298
16250000,4594396.108323,118986,7263
16300000,4594141.404023,118999,7273
16350000,4597007.981637,119319,7082
16400000,4588287.464893,119204,7245
16450000,4505558.888665,119259,7219
16500000,4516347.797042,119179,7311
16550000,4505644.001271,119224,7408
16600000,4503420.030555,119266,7285
16650000,4524495.295619,119268,7296
16700000,4513188.924836,119274,7353
16750000,4528260.286061,119240,7337
16800000,4535488.404053,119437,7151
16850000,4532240.858320,119455,7217
16900000,4471329.316236,119567,7301
16950000,4466376.005918,119642,7150
17000000,4466474.155370,119688,7150
17050000,4495084.024215,119488,7177
17100000,4496660.008172,119488,7132
17150000,4493358.396571,119456,7136
17200000,4501547.006169,119584,7186
17250000,4390932.237083,119512,7216
17300000,4418962.959122,119392,7333
17350000,4406459.257073,119280,7325
17400000,4399712.209001,119264,7337
17450000,4404374.445386,119128,7333
17500000,4406918.553875,119140,7386
17550000,4404838.735662,119202,7396
17600000,4344875.421818,119225,7401
17650000,4390570.517177,119323,7379
17700000,4169898.938601,119330,7306
17750000,4165383.059997,119349,7297
17800000,4231681.506829,119425,7167
17850000,4242290.813918,119216,7399
17900000,4240504.731272,119317,7350
17950000,4242841.752066,119190,7384
18000000,4242025.106018,119361,7325
18050000,4161178.372949,119468,7269
18100000,4153872.731753,119282,7386
18150000,4134141.783444,119341,7263
18200000,4127984.006712,119260,7274
18250000,4110637.988788,119189,7320
18300000,4116360.170880,119462,7311
18350000,4117906.279282,119416,7282
18400000,4113998.290241,119468,7281
18450000,4116620.737046,119393,7346
18500000,4108429.968119,119400,7225
18550000,4116150.785171,119418,7329
18600000,4106552.633924,119408,7317
18650000,4070325.451514,119595,7228
18700000,4045815.273468,119632,7221
18750000,4024032.543828,119490,7347
18800000,3997100.195238,119510,7275
18850000,4012502.285459,119439,7322
18900000,3948697.318626,119374,7271
18950000,3501159.178467,119439,7187
19000000,3497827.756597,119385,7149
19050000,3496581.247895,119418,7234
19100000,3509959.397283,119364,7333
19150000,3510224.530144,119306,7377
19200000,3511660.221204,119193,7328
19250000,3496542.770341,119104,7414
19300000,3512660.276557,119073,7391
19350000,3511085.193873,119007,7452
19400000,3524049.829970,118895,7522
19450000,3598485.964355,119054,7378
19500000,3598443.981729,119119,7415
19550000,3608834.056513,118992,7570
